authorDisplayName,textDisplay
@user1,Kalo blm pernah terpisah maut dgn pasangan blm apa2 ujiannya
@user2,Peler lah😂😂😂<br><br><br><br><br><br><br>Press it dent go block😂😂😂✌️
@user3,Silahkan Dihujat<br>Sesuka Hati...... 😂
@user4,19 juta lapangan pekerjaan nya mana gibran wapres ga nyambung boro kokok sia asuu😂
@user5,Ga ada isinya !
@user6,"AKU SETUJU DPR SEGERA MENGANTI GIBRAN ,,,"
@user7,SANGAT SETUJU GIBRAN SEGERA DI GANTI INDONESIA BANYAK ORANG BAGUS
@user8,"Nyari komentar yang positif susah amat ya😂<br>Mental baja banget mas yg di video, apa emang ga liat kolom komentar"
@user9,bacot karbit
@user10,Sok keren wapres dinasti
@user11,"Penilaian AI terhadap video ini :<br><br>🗣 <b>*1. Gaya Komunikasi: Terstruktur tapi Terlalu Datar*</b><br><br>* Gibran menggunakan bahasa formal dan runut. Ia tampak membaca naskah dengan rapi.<br>* Namun, **intonasi dan ekspresi wajahnya cenderung datar**, membuat pesan yang sebenarnya penting terasa kurang menggugah emosi.<br>* Ada kesan bahwa ia masih “membacakan pidato” daripada benar-benar “menyampaikan gagasan” yang ia kuasai dan yakini sepenuh hati.<br><br><b>*➡ Penilaian:*</b> secara teknis rapi, tapi tidak menyatu secara emosional. Kurang &quot;jiwa&quot; atau passion yang biasa menyertai pidato-pidato pemimpin muda inspiratif.<br><br><br>👤 <b>*2. Persona Gibran vs. Isi Pidato*</b><br><br>* Pidato ini menekankan pentingnya generasi muda untuk **bermimpi besar, berani melompat, dan menembus batas**.<br>* Namun, di mata sebagian publik, Gibran sering dikaitkan dengan **akses politik elite dan dinasti kekuasaan**, bukan perjuangan dari bawah atau kepemimpinan yang terbentuk lewat dinamika sosial-politik yang keras.<br><br><b>*➡ Penilaian:*</b> Ada **ketimpangan antara pesan idealisme dan persepsi publik terhadap figur Gibran**. Ini membuat pidatonya terasa agak “mengambang” bagi sebagian penonton yang skeptis.<br><br><br>📄 <b>*3. Relevansi Isi dengan Tantangan Nyata*</b><br><br>* Pesan soal bonus demografi sangat relevan — Indonesia memang butuh pemuda yang berani dan adaptif.<br>* Tapi <b>*pidato ini tidak menyentuh masalah konkret*</b> seperti: rendahnya kualitas pendidikan, pengangguran terdidik, atau kesenjangan digital di daerah.<br><br><b>*➡ Penilaian:*</b> Gagasan besar tanpa peta jalan konkret. Untuk seorang wakil presiden, publik mungkin mengharapkan lebih dari sekadar semangat motivasional.<br><br><br>### 🎯 <b>*Kesimpulan Akhir:*</b><br><br><b>*Keserasian antara Gibran dan pidatonya*</b> bisa dikatakan <b>*tidak optimal secara emosional dan kredibilitas substansi.*</b><br>Ia menyampaikan pesan penting dengan bahasa yang rapi, tapi tidak sepenuhnya menyatu dengan persona dirinya maupun harapan publik terhadap peran pemimpin muda."
@user12,Lagi coba cari yg dislike 80ribu
@user13,Omong lihat teks coba omong tanpa teks?? Ora gumun cah TK yo iso
@user14,"Kak aku dah liat full<br>Kaka level nya wakil presiden<br>Lain kali jika buat Video yang sama jelasin strategi pemerintah seperti apa, doktrin pemerintah pemerintah itu apa, kebijakan pemerintah itu apa untuk menghadapi bonus demografi.<br><br>Setelah Kaka jelasin ketiganya baru Kaka berikan solusi buat generasi muda. Kalau Kaka jelasin harus adaptif, kompetitif, harus mengikuti perkembangan zaman itu belum solusi masih general(belum spesifik). Bapak saya yang bukan pengampu kebijakan juga nasihatin gitu ke saya.<br><br>Dari tadi saya lihat latarbelakang Mulu plus rumusan masalah pertanyaannya solusinya mana? Bab 4- Bab 5 mana kak Gibran.<br><br>Semangat buat next video"
@user15,KAMI MUAK SAMA KELUARGA ANDA YANG TELAH MERUSAK TATANAN DI NEGERI INI <br><br>JANGAN KASIH PANGGUNG GENG SOLO DI 2029 <br><br> 🔥🔥🔥
@user16,Preettlah😂😂😂😂😂😂😂
@user17,Sok ngerti padahal baca
@user18,Kocak
@user19,Cucucaca
@user20,Cukup jelas maksudnya pak wapres indonesia harus optimis bisa bersaing dengan negara maju sesimple itu
@user21,"Saya suka novel novel karya Gibran, salah satu karya nya yg saya baca adalah &quot;Sayap-sayap Patah&quot;❤"
@user22,"#<a href=""https://www.youtube.com/shorts/OiTn0CUCGT0"">https://youtube.com/shorts/OiTn0CUCGT0?si=DxlMupoaLPvX5fol</a>"
@user23,"Semua Anak Muda yang sukses selalu bercerita tentang perjalanan hidupnya, tapi sering lupa mengutip ada peran bapaknya di dalam ceritanya itu."
@user24,"Maaf, mukanya kelihatan dungu (seperti kata Rocky Gerung), saya malu punya wapres spt beliau"
@user25,fufufafa
@user26,Untuk liat jumlah dislike dimana ya? 😅
@user27,Gelap bang 🤣🤣🤣
@user28,"<a href=""https://www.youtube.com/watch?v=SzXMacu80o8&amp;t=357"">5:57</a> negeri yang kita cintai ini, ketawa gue dengernya taulah kenapa."
@user29,Kok ga malu ya dia ?
@user30,Pret ahhh
@user31,Woilah bener njir Komen komen youtuber centang pada dibumkam😂
@user32,"Punya malu gak,?"
@user33,Di kan di setir dari belakang
@user34,Fufufafa kentut
@user35,Kalau ngonten jgn makan micin
@user36,Daripada like mending dislike
@user37,Wajib masuk Guinness world Record gak sih?<br>Views: 1630935<br>Likes: 125967<br>Dislikes: 203866
@user38,like beli juga itu. awal ny cmn dikit . shari langsung 100 rbu
@user39,LAPORKAN KE YOUTUBE INI CUMA PEMBOHONGAN PASTI DI TAKE DOWN
@user40,"ANAK HARAM KONSTITUSI DIJULUKI OLEH MAKZULKAN SETUJU BANGET <a href=""https://www.google.com/search?q=ANKA+HARAM+KONSTITUSI&amp;oq=ANKA+HARAM+KONSTITUSI&amp;gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDM4MDNqMGo3qAIAsAIA&amp;sourceid=chrome&amp;ie=UTF-8"">https://www.google.com/search?q=ANKA+HARAM+KONSTITUSI&amp;oq=ANKA+HARAM+KONSTITUSI&amp;gs_lcrp=EgZjaHJvbWUyBggAEEUYOdIBCDM4MDNqMGo3qAIAsAIA&amp;sourceid=chrome&amp;ie=UTF-8</a>"
@user41,"belajar lagi pidato elo bro , bernai gak diskusi ke UI atau ITB? hahahahahhaha"
@user42,Jgn oiiiii nanti asem urat nya kambuh 🗿
@user43,orang lagi ngoceh gak menentu
@user44,liat judulnya aja kek bawaan dari chatgpt atau AI😂
@user45,Bonus demografi bukan masalah..!!!!  Asal punya orang dalem..
@user46,Amien semoga seluruh rakyat indonesia selalu sehat selalu amien
@user47,Gaji wapres kurang mas?
@user48,semangat wapresku
@user49,Kosong
@user50,Lah dislike nya di hide 😂😂😂😂😂
@user51,Mana dislaik nya wok
@user52,😪😪😪😪😪😪😪😪😪😴😴😴😴😴😴
@user53,Wkwkwk kosong
@user54,Sial banget hidup gua di generasi wapresnya fufufafa
@user55,Intinya kita harusssss....marilah kita selaluu....i don&#39;t get it mas
@user56,Bayar like
@user57,19 jt lapangan kerja ng ndi iki?? Lgee pd kere ini rakyat2 mu
@user58,"Kayak baca koran ngomongnya,,,sepertinya bukan dari pemikiran gibran,pinter editornya,"
@user59,Uji nyali biar gak nabok wapres
@user60,😂😂😂 PAKAI TEX MEMALUKAN WAPRES INI
@user61,"Kalo elu yg ngomong mh, bukan bonus demografi tapi bencana demografi"
@user62,204k dislikes bffr vro I can see it💔
@user63,fufufafa❤❤❤❤
@user64,Kosong 😂😂😂😂
@user65,"Becik ketitik, olo ketoro!"
@user66,Di rekomendasi di tonton di kecepatan 4x biar cepat selesai ya guys ya
@user67,😅
@user68,Rasanya pengen tidur cok
@user69,Negara punya KELUARGA 😂
@user70,"Kosong banget, sama kyk bpknya non subtansi"
@user71,Dia content creator apa wakil presiden dah?! 😢
@user72,"rajin rajin baca buku, jangan main ps terus"
@user73,Isinya gaada cara buat menjadi yang di butuhkan.<br>Dan tidak di jelaskan bagaimana caranya.<br>Juga materinya acak acakan
@user74,"Ceramah semua, agar mudah bikin komten nya"
@user75,Udah buka belum ya pak ?<br>19 juta Loker pekerjaan. Saya nganggur
@user76,Belajar drmana mas..ki bagus pidatonya😀
@user77,Pangapunten mas 19juta lapangan pekerjaan nya dimana?
@user78,oon
@user79,sumpah liat komen bikin Gedeg.. nyinyir Mulu anj bukanya diresapi .. hadehh
@user80,CRAP 🤣
@user81,"<a href=""https://www.youtube.com/watch?v=SzXMacu80o8&amp;t=49"">00:49</a> Ga ada peluang tanpa orang dalam, mas wapres pasti setujukan? Coba gada paman di MK.."
@user82,Random bullsit go 😈
@user83,"kesampingkan semua bias, dengarkan intinya"
@user84,Kosong banget otaknya
@user85,"ini keypointnya apa mas, jujur bingung wkwkwkw"
@user86,membaca cuyyyyy😂😂😂
@user87,Cocok untuk jadi ketua osis
@user88,Dari awal sampe akhir baca trus.. Paham kah?
@user89,"yang disampaikan terasa seperti &quot;utopia&quot;. namun realitanya &quot;distopia&quot;, gmn mau bonus demografi sedangkan pemimpin saja bacaannya &quot;naruto&quot;. pantas negeri &quot;konoha&quot; berkumamdang. literasi rendah, gizi buruk, macam2. so sebaiknya lebih di riset lagi lah bonus demografi apa yang sudah dicapai ada ga yang berkaitan ke arah bonus demografi?biar ga kesannya baca teks doang. saya yakin beliau ini bukan orang &quot;sembarangan&quot;"
@user90,Ke sini cuman baca komen sih 😂😂
@user91,"Wah wah wah, LAMBENE LUNYUNE POLL."
@user92,Udah yappingnya
@user93,😂😂😂😂😂😂😂😂
@user94,"P,fufufafa"
@user95,Mas Gibran aja naiknya lewat jalur bapake…ngapain sibuk sibuk bahas topik ginian mas…mending ngumpet aja mas diem diem sampe masa jabatan selesai minimum ga malu di depan umum mas😂😂
@user96,Terimakasih sudah menjelaskan bahwa sebenarnya saya akan menjadi calon ketua MPR
@user97,Zzzzzzxxxzzzz
@user98,Gibrantola tolo
@user99,"Mas Gibran merupakan cahaya indonesia di masa depan!, siap mengawal mas gibran untuk menjadi Presiden RI 2029, Allahu Akbar!"
@user100,GUGAT JOKOWI RP 11.000 TRILIUN - APABILA TERBUKTI IJAZAH BELIAU PALSU.
@user101,"99,8 % komen video ini negatif saya suka sih 😂"
@user102,Yakk benar teman&quot;<br>Wapres kita ini berkata dengan penuh kebenaran<br>Bahwasanya inti dari video ini adalah<br>AI lebih berguna daripada beliau😊
@user103,Kenapa langsung di JUMBO dah? Agak lain
@user104,Anak pki
@user105,GX pantas jadi wapres kluarga ijazah palsu semua
@user106,10+2 tanya Prabowo bran🗿
@user107,Beli like ya ?🗿
@user108,"mas wapres, ini kenapa dislikenya banyak bangett. pada ga mau diajak bonus demografi"
@user109,Kesini gara-gara bang cavein 🗿👍🏿
@user110,dislike 206k...
@user111,Beneran? Keren
@user112,Ayu ayu gayang fufufafa🗣️🔥🔥🔥🔥
@user113,"terus saya menilai ini masih sangat editing kalau bisa natural saja percumah suguhkan kemajuan dan prestasi tapi faktanya birokrasi yg salah benahi dulu pengelolaan APBN secara nyata jangan mengawang awang udah banyak tokoh gini anis dll fakta tak akan laku di rakyat kita setidaknya ini akan sampai 10 tahun kedepan jadi lebih bisa membumi aja mayoritas rakyat suka kerja nyata perkataan yg telah di kerjakan ,dan itu publikasikan"
@user114,saya berharap kalau gibran punya cita cita RI satu  harus kuasai juga ilmu budaya baik agama dan serta sangat teknisnya apa yg di katakan harus sudah di lakukan kalau tidak haluan pemimpin ala KDM sulit terbendung ini masukan bukan punya kebencian apapun
@user115,NIE ORANG GAK LAYAK DAN GAK TAU DIRI TP MINTA JABATAN
@user116,Keluarga mulyono mukanya tebel semua
@user117,😂
@user118,kesini buat pencet tombol 👎🏻 ini aja si
@user119,Lalapo
@user120,Terima kasih pak jokowi
@user121,Terima kasih pak jokowi
